Type,Family,Model Name,Input Size,Accuracy
TBD,TBD,deit3_large_patch16_224.fb_in22k_ft_in1k,224,86.986
TBD,TBD,deit3_large_patch16_384.fb_in1k,384,85.818
TBD,TBD,deit3_large_patch16_384.fb_in22k_ft_in1k,384,87.734
TBD,TBD,deit3_medium_patch16_224.fb_in1k,224,83.086
TBD,TBD,deit3_medium_patch16_224.fb_in22k_ft_in1k,224,84.566
TBD,TBD,deit3_small_patch16_224.fb_in1k,224,81.374
TBD,TBD,deit3_small_patch16_224.fb_in22k_ft_in1k,224,83.082
TBD,TBD,deit3_small_patch16_384.fb_in1k,384,83.428
TBD,TBD,deit3_small_patch16_384.fb_in22k_ft_in1k,384,84.842
TBD,TBD,densenet121.ra_in1k,288,76.48
TBD,TBD,densenet121.ra_in1k,224,75.576
TBD,TBD,densenet121.tv_in1k,224,74.748
TBD,TBD,densenet161.tv_in1k,224,77.35
TBD,TBD,densenet169.tv_in1k,224,75.922
TBD,TBD,densenet201.tv_in1k,224,77.284
TBD,TBD,densenetblur121d.ra_in1k,288,77.31
TBD,TBD,densenetblur121d.ra_in1k,224,76.572
TBD,TBD,dla102.in1k,224,78.018
TBD,TBD,dla102x.in1k,224,78.5
TBD,TBD,dla102x2.in1k,224,79.448
TBD,TBD,dla169.in1k,224,78.706
TBD,TBD,dla34.in1k,224,74.632
TBD,TBD,dla46_c.in1k,224,64.88
TBD,TBD,dla46x_c.in1k,224,66.008
TBD,TBD,dla60.in1k,224,77.046
TBD,TBD,dla60_res2net.in1k,224,78.48
TBD,TBD,dla60_res2next.in1k,224,78.488
TBD,TBD,dla60x.in1k,224,78.23
TBD,TBD,dla60x_c.in1k,224,67.928
TBD,TBD,dm_nfnet_f0.dm_in1k,256,83.47
TBD,TBD,dm_nfnet_f0.dm_in1k,192,81.438
TBD,TBD,dm_nfnet_f1.dm_in1k,320,84.696
TBD,TBD,dm_nfnet_f1.dm_in1k,224,83.444
TBD,TBD,dm_nfnet_f2.dm_in1k,352,85.176
TBD,TBD,dm_nfnet_f2.dm_in1k,256,84.092
TBD,TBD,dm_nfnet_f3.dm_in1k,416,85.672
TBD,TBD,dm_nfnet_f3.dm_in1k,320,85.096
TBD,TBD,dm_nfnet_f4.dm_in1k,512,85.86
TBD,TBD,dm_nfnet_f4.dm_in1k,384,85.496
TBD,TBD,dm_nfnet_f5.dm_in1k,544,86.1
TBD,TBD,dm_nfnet_f5.dm_in1k,416,85.716
TBD,TBD,dm_nfnet_f6.dm_in1k,576,86.372
TBD,TBD,dm_nfnet_f6.dm_in1k,448,86.154
TBD,TBD,dpn107.mx_in1k,224,80.168
TBD,TBD,dpn131.mx_in1k,224,79.834
TBD,TBD,dpn68.mx_in1k,224,76.338
TBD,TBD,dpn68b.mx_in1k,224,77.542
TBD,TBD,dpn68b.ra_in1k,288,79.344
TBD,TBD,dpn68b.ra_in1k,224,78.544
TBD,TBD,dpn92.mx_in1k,224,80.028
TBD,TBD,dpn98.mx_in1k,224,79.656
TBD,TBD,eca_botnext26ts_256.c1_in1k,256,79.272
TBD,TBD,eca_halonext26ts.c1_in1k,256,79.518
TBD,TBD,eca_nfnet_l0.ra2_in1k,288,82.596
TBD,TBD,eca_nfnet_l0.ra2_in1k,224,81.764
TBD,TBD,eca_nfnet_l1.ra2_in1k,320,84.05
TBD,TBD,eca_nfnet_l1.ra2_in1k,256,83.264
TBD,TBD,eca_nfnet_l2.ra3_in1k,384,84.706
TBD,TBD,eca_nfnet_l2.ra3_in1k,320,84.156
TBD,TBD,eca_resnet33ts.ra2_in1k,288,80.716
TBD,TBD,eca_resnet33ts.ra2_in1k,256,80.092
TBD,TBD,eca_resnext26ts.ch_in1k,288,78.016
TBD,TBD,eca_resnext26ts.ch_in1k,256,77.442
TBD,TBD,ecaresnet101d.miil_in1k,288,82.998
TBD,TBD,ecaresnet101d.miil_in1k,224,82.186
TBD,TBD,ecaresnet101d_pruned.miil_in1k,288,82.006
TBD,TBD,ecaresnet101d_pruned.miil_in1k,224,80.814
TBD,TBD,ecaresnet269d.ra2_in1k,352,84.972
TBD,TBD,ecaresnet269d.ra2_in1k,320,84.72
TBD,TBD,ecaresnet26t.ra2_in1k,320,79.9
TBD,TBD,ecaresnet26t.ra2_in1k,256,78.886
TBD,TBD,ecaresnet50d.miil_in1k,288,81.64
TBD,TBD,ecaresnet50d.miil_in1k,224,80.618
TBD,TBD,ecaresnet50d_pruned.miil_in1k,288,80.808
TBD,TBD,ecaresnet50d_pruned.miil_in1k,224,79.722
TBD,TBD,ecaresnet50t.a1_in1k,288,82.112
TBD,TBD,ecaresnet50t.a1_in1k,224,81.284
TBD,TBD,ecaresnet50t.a2_in1k,288,81.682
TBD,TBD,ecaresnet50t.a2_in1k,224,80.884
TBD,TBD,ecaresnet50t.a3_in1k,224,79.548
TBD,TBD,ecaresnet50t.a3_in1k,160,77.78
TBD,TBD,ecaresnet50t.ra2_in1k,320,82.37
TBD,TBD,ecaresnet50t.ra2_in1k,256,81.446
TBD,TBD,ecaresnetlight.miil_in1k,288,81.416
TBD,TBD,ecaresnetlight.miil_in1k,224,80.456
TBD,TBD,edgenext_base.in21k_ft_in1k,320,84.076
TBD,TBD,edgenext_base.in21k_ft_in1k,256,83.416
TBD,TBD,edgenext_base.usi_in1k,320,83.97
TBD,TBD,edgenext_base.usi_in1k,256,83.684
TBD,TBD,edgenext_small.usi_in1k,320,81.572
TBD,TBD,edgenext_small.usi_in1k,256,81.064
TBD,TBD,edgenext_small_rw.sw_in1k,320,80.452
TBD,TBD,edgenext_small_rw.sw_in1k,256,79.59
TBD,TBD,edgenext_x_small.in1k,288,75.706
TBD,TBD,edgenext_x_small.in1k,256,74.88
TBD,TBD,edgenext_xx_small.in1k,288,71.886
TBD,TBD,edgenext_xx_small.in1k,256,71.116
TBD,TBD,efficientformer_l1.snap_dist_in1k,224,80.502
TBD,TBD,efficientformer_l3.snap_dist_in1k,224,82.564
TBD,TBD,efficientformer_l7.snap_dist_in1k,224,83.386
TBD,TBD,efficientformerv2_l.snap_dist_in1k,224,83.64
TBD,TBD,efficientformerv2_s0.snap_dist_in1k,224,76.116
TBD,TBD,efficientformerv2_s1.snap_dist_in1k,224,79.684
TBD,TBD,efficientformerv2_s2.snap_dist_in1k,224,82.15
TBD,TBD,efficientnet_b0.ra_in1k,224,77.696
TBD,TBD,efficientnet_b0.ra4_e3600_r224_in1k,256,79.37
TBD,TBD,efficientnet_b0.ra4_e3600_r224_in1k,224,78.572
TBD,TBD,efficientnet_b1.ft_in1k,256,78.798
TBD,TBD,efficientnet_b1.ft_in1k,224,77.594
TBD,TBD,efficientnet_b1.ra4_e3600_r240_in1k,288,81.434
TBD,TBD,efficientnet_b1.ra4_e3600_r240_in1k,240,80.404
TBD,TBD,efficientnet_b1_pruned.in1k,240,78.252
TBD,TBD,efficientnet_b2.ra_in1k,288,80.61
TBD,TBD,efficientnet_b2.ra_in1k,256,79.34
TBD,TBD,efficientnet_b2_pruned.in1k,260,79.908
TBD,TBD,efficientnet_b3.ra2_in1k,320,82.298
TBD,TBD,efficientnet_b3.ra2_in1k,288,81.474
TBD,TBD,efficientnet_b3_pruned.in1k,300,80.872
TBD,TBD,efficientnet_b4.ra2_in1k,384,83.474
TBD,TBD,efficientnet_b4.ra2_in1k,320,82.654
TBD,TBD,efficientnet_b5.sw_in12k_ft_in1k,448,85.892
TBD,TBD,efficientnet_el.ra_in1k,300,81.306
TBD,TBD,efficientnet_el_pruned.in1k,300,80.294
TBD,TBD,efficientnet_em.ra2_in1k,240,79.264
TBD,TBD,efficientnet_es.ra_in1k,224,78.092
TBD,TBD,efficientnet_es_pruned.in1k,224,75
TBD,TBD,efficientnet_lite0.ra_in1k,224,75.49
TBD,TBD,efficientnetv2_rw_m.agc_in1k,416,84.824
TBD,TBD,efficientnetv2_rw_m.agc_in1k,320,84.294
TBD,TBD,efficientnetv2_rw_s.ra2_in1k,384,83.83
TBD,TBD,efficientnetv2_rw_s.ra2_in1k,288,82.888
