model_name,input_size_csv,input_size_cfg,crop_pct_csv,crop_pct_cfg,params_csv,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,256,256,1.0,1.0,200.13,200128168,1594848808,200128168,44984369128,228475320
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,384,1.0,1.0,200.13,200128168,3347732008,200128168,101209956328,514048440
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,320,1.0,1.0,200.13,200128168,2383646248,200128168,70285883368,356983224
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,384,384,1.0,1.0,200.13,200128168,3347732008,200128168,101209956328,514048440
convnext_nano.d1h_in1k,288,224,1.0,0.95,15.59,15593560,4056043560,15593560,4067022440,57031480
convnext_nano.d1h_in1k,224,224,0.95,0.95,15.59,15593560,2453913640,15593560,2460550760,34503480
convnext_nano.in12k_ft_in1k,288,224,1.0,0.95,15.59,15593560,4056043560,15593560,4067022440,57031480
convnext_nano.in12k_ft_in1k,224,224,0.95,0.95,15.59,15593560,2453913640,15593560,2460550760,34503480
convnext_nano_ols.d1h_in1k,288,224,1.0,0.95,15.65,15649560,4381184040,15649560,4392162920,58690360
convnext_nano_ols.d1h_in1k,224,224,0.95,0.95,15.65,15649560,2650603560,15649560,2657240680,35507000
convnext_pico.d1_in1k,288,224,0.95,0.875,9.05,9045672,2269578472,9045672,2277533160,41644472
convnext_pico.d1_in1k,224,224,0.875,0.875,9.05,9045672,1373160680,9045672,1377969640,25194936
convnext_pico_ols.d1_in1k,288,224,1.0,0.95,9.06,9061928,2367784168,9061928,2375738856,42308024
convnext_pico_ols.d1_in1k,224,224,0.95,0.95,9.06,9061928,1432569064,9061928,1437378024,25596344
convnext_small.fb_in1k,288,224,1.0,0.875,50.22,50223688,648721672,50223688,14418903784,144579768
convnext_small.fb_in1k,224,224,0.875,0.875,50.22,50223688,411391240,50223688,8722850536,87465144
convnext_small.fb_in22k_ft_in1k,288,224,1.0,0.875,50.22,50223688,648721672,50223688,14418903784,144579768
convnext_small.fb_in22k_ft_in1k,224,224,0.875,0.875,50.22,50223688,411391240,50223688,8722850536,87465144
convnext_small.fb_in22k_ft_in1k_384,384,384,1.0,1.0,50.22,50223688,1115965960,50223688,25633008616,257024184
convnext_small.in12k_ft_in1k,288,224,1.0,0.95,50.22,50223688,648721672,50223688,14418903784,144579768
convnext_small.in12k_ft_in1k,224,224,0.95,0.95,50.22,50223688,411391240,50223688,8722850536,87465144
convnext_small.in12k_ft_in1k_384,384,384,1.0,1.0,50.22,50223688,1115965960,50223688,25633008616,257024184
convnext_tiny.fb_in1k,288,224,1.0,0.875,28.59,28589128,515465224,28589128,7404827368,90832056
convnext_tiny.fb_in1k,224,224,0.875,0.875,28.59,28589128,322371592,28589128,4479767272,54951096
convnext_tiny.fb_in22k_ft_in1k,224,224,0.875,0.875,28.59,28589128,322371592,28589128,4479767272,54951096
convnext_tiny.fb_in22k_ft_in1k,288,224,1.0,0.875,28.59,28589128,515465224,28589128,7404827368,90832056
convnext_tiny.fb_in22k_ft_in1k_384,384,384,1.0,1.0,28.59,28589128,895618312,28589128,13163539432,161472696
convnext_tiny.in12k_ft_in1k,288,224,1.0,0.95,28.59,28589128,515465224,28589128,7404827368,90832056
convnext_tiny.in12k_ft_in1k,224,224,0.95,0.95,28.59,28589128,322371592,28589128,4479767272,54951096
convnext_tiny.in12k_ft_in1k_384,384,384,1.0,1.0,28.59,28589128,895618312,28589128,13163539432,161472696
convnext_tiny_hnf.a2h_in1k,288,224,1.0,0.95,28.59,28589128,7386989992,28589128,7404827368,90830752
convnext_tiny_hnf.a2h_in1k,224,224,0.95,0.95,28.59,28589128,4468983208,28589128,4479767272,54949792
convnext_xlarge.fb_in22k_ft_in1k,288,224,1.0,0.875,350.2,350196968,3213330152,350196968,100877380584,385541048
convnext_xlarge.fb_in22k_ft_in1k,224,224,0.875,0.875,350.2,350196968,2077132520,350196968,61025397736,233235384
convnext_xlarge.fb_in22k_ft_in1k_384,384,384,1.0,1.0,350.2,350196968,5450219240,350196968,179335971816,685392824
convnext_xxlarge.clip_laion2b_soup_ft_in1k,256,256,1.0,1.0,846.47,846471016,5533495144,846471016,198194357224,504127416
convnextv2_atto.fcmae_ft_in1k,288,224,0.95,0.875,3.71,3708400,910884360,3708400,914856360,26028920
convnextv2_atto.fcmae_ft_in1k,224,224,0.875,0.875,3.71,3708400,551163400,3708400,553558440,15747960
convnextv2_base.fcmae_ft_in1k,288,224,1.0,0.875,88.72,88717800,1013447016,88717800,25460188136,192772024
convnextv2_base.fcmae_ft_in1k,224,224,0.875,0.875,88.72,88717800,646674792,88717800,15402247144,116619192
